Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
41, 25.165964126586914, 25.326391220092773 +/- 0.4523085951805115, 1.6974740028381348 +/- 0.04556211084127426, 5.311519622802734 +/- 0.08532170206308365, 1.230959415435791 +/- 0.0, 0.8738906383514404 +/- 0.007597052957862616, 0.7220020294189453 +/- 0.0063446927815675735, 1.0160207748413086
42, 24.742219924926758, 24.93154525756836 +/- 0.4445250928401947, 1.6744303703308105 +/- 0.04540909454226494, 5.205643177032471 +/- 0.079958975315094, 1.230959415435791 +/- 0.0, 0.8746123313903809 +/- 0.008042506873607635, 0.701461672782898 +/- 0.00554279750213027, 1.015923261642456
43, 24.510711669921875, 24.599124908447266 +/- 0.4801645278930664, 1.6536951065063477 +/- 0.04872134327888489, 5.112700939178467 +/- 0.0756460577249527, 1.230959415435791 +/- 0.0, 0.8743485808372498 +/- 0.008187848143279552, 0.6819703578948975 +/- 0.005734064616262913, 1.0154800415039062
44, 24.179183959960938, 24.293254852294922 +/- 0.4934217929840088, 1.6390963792800903 +/- 0.05177893862128258, 5.0294647216796875 +/- 0.07323185354471207, 1.230959415435791 +/- 0.0, 0.8759517669677734 +/- 0.00904969684779644, 0.6629206538200378 +/- 0.005198461934924126, 1.0149040222167969
45, 23.95538902282715, 24.041793823242188 +/- 0.5033803582191467, 1.6275382041931152 +/- 0.05321115255355835, 4.942348003387451 +/- 0.07811079174280167, 1.230959415435791 +/- 0.0, 0.8765053749084473 +/- 0.0082821911200881, 0.6460558176040649 +/- 0.004609258845448494, 1.0135595798492432
46, 23.749778747558594, 23.828718185424805 +/- 0.5296009182929993, 1.620114803314209 +/- 0.055029671639204025, 4.859286785125732 +/- 0.07183165848255157, 1.230959415435791 +/- 0.0, 0.8774004578590393 +/- 0.008924880996346474, 0.628628134727478 +/- 0.005185454152524471, 1.013828992843628
47, 23.601783752441406, 23.638084411621094 +/- 0.5182304978370667, 1.6134862899780273 +/- 0.05540624260902405, 4.771716117858887 +/- 0.08861444890499115, 1.230959415435791 +/- 0.0, 0.877582848072052 +/- 0.009985106997191906, 0.6114708185195923 +/- 0.004856725689023733, 1.015200138092041
48, 23.38998031616211, 23.446779251098633 +/- 0.5243521332740784, 1.6103272438049316 +/- 0.05364992097020149, 4.672327041625977 +/- 0.09670707583427429, 1.230959415435791 +/- 0.0, 0.878705620765686 +/- 0.010664860717952251, 0.5942871570587158 +/- 0.005242571700364351, 1.0153167247772217
49, 23.134435653686523, 23.233009338378906 +/- 0.5465506315231323, 1.6056177616119385 +/- 0.057623934000730515, 4.557389259338379 +/- 0.10822881013154984, 1.230959415435791 +/- 0.0, 0.8794227838516235 +/- 0.011753634549677372, 0.5758700370788574 +/- 0.005313546862453222, 1.0146639347076416
50, 22.987319946289062, 22.992578506469727 +/- 0.5622742772102356, 1.5992085933685303 +/- 0.05775725841522217, 4.455246925354004 +/- 0.07671841233968735, 1.230959415435791 +/- 0.0, 0.8808266520500183 +/- 0.008323894813656807, 0.5590440034866333 +/- 0.004399220924824476, 1.0141489505767822
51, 22.811447143554688, 22.800222396850586 +/- 0.5981276035308838, 1.592071294784546 +/- 0.06271611899137497, 4.396540641784668 +/- 0.0941440686583519, 1.230959415435791 +/- 0.0, 0.8823947310447693 +/- 0.011170526035130024, 0.5436962842941284 +/- 0.0038528512232005596, 1.0162584781646729
52, 22.57508087158203, 22.614501953125 +/- 0.5699982643127441, 1.5861008167266846 +/- 0.05801872909069061, 4.334802627563477 +/- 0.08008258044719696, 1.230959415435791 +/- 0.0, 0.8839499950408936 +/- 0.010887441225349903, 0.5300387144088745 +/- 0.004136654548346996, 1.015472650527954
53, 22.40892791748047, 22.447681427001953 +/- 0.6339848637580872, 1.5773916244506836 +/- 0.0653698742389679, 4.303642272949219 +/- 0.07484190911054611, 1.230959415435791 +/- 0.0, 0.8848295211791992 +/- 0.009608420543372631, 0.5172337293624878 +/- 0.0036484524607658386, 1.0169520378112793
54, 22.232959747314453, 22.267698287963867 +/- 0.6180004477500916, 1.5673375129699707 +/- 0.06327395141124725, 4.257165908813477 +/- 0.06562775373458862, 1.230959415435791 +/- 0.0, 0.8851757049560547 +/- 0.00868174061179161, 0.5055776834487915 +/- 0.0036719157360494137, 1.0158960819244385
55, 22.004615783691406, 22.093313217163086 +/- 0.573508083820343, 1.5576729774475098 +/- 0.05896483734250069, 4.230127334594727 +/- 0.07009391486644745, 1.230959415435791 +/- 0.0, 0.8864253759384155 +/- 0.007699369452893734, 0.49530404806137085 +/- 0.002520604059100151, 1.0148394107818604
56, 21.727886199951172, 21.833030700683594 +/- 0.6531922817230225, 1.5402672290802002 +/- 0.06672029197216034, 4.163118362426758 +/- 0.05978352576494217, 1.230959415435791 +/- 0.0, 0.8866443634033203 +/- 0.007508734706789255, 0.4883266091346741 +/- 0.0016914686420932412, 1.0154638290405273
57, 21.34603500366211, 21.530378341674805 +/- 0.6062061786651611, 1.5183100700378418 +/- 0.061927780508995056, 4.110083103179932 +/- 0.06611393392086029, 1.230959415435791 +/- 0.0, 0.8875017762184143 +/- 0.00815763883292675, 0.48247772455215454 +/- 0.0014844912802800536, 1.0170228481292725
58, 20.931957244873047, 21.13214874267578 +/- 0.6263896226882935, 1.4889991283416748 +/- 0.06407482922077179, 4.028685569763184 +/- 0.07101184874773026, 1.230959415435791 +/- 0.0, 0.8883506059646606 +/- 0.00867615919560194, 0.4796924591064453 +/- 0.0006052783573977649, 1.0145950317382812
59, 20.454668045043945, 20.67630958557129 +/- 0.6670659780502319, 1.4586100578308105 +/- 0.0692761018872261, 3.9236111640930176 +/- 0.07816355675458908, 1.230959415435791 +/- 0.0, 0.8906076550483704 +/- 0.011063238605856895, 0.47884461283683777 +/- 0.0002895072102546692, 1.0162086486816406
60, 20.007579803466797, 20.22426986694336 +/- 0.6787633895874023, 1.4280380010604858 +/- 0.06915032863616943, 3.8213109970092773 +/- 0.07375667244195938, 1.230959415435791 +/- 0.0, 0.8926843404769897 +/- 0.0106589300557971, 0.479775995016098 +/- 0.0005573248490691185, 1.0156033039093018
61, 19.712230682373047, 19.80245590209961 +/- 0.665022075176239, 1.3997554779052734 +/- 0.0692906603217125, 3.741774082183838 +/- 0.07939139753580093, 1.230959415435791 +/- 0.0, 0.8957957625389099 +/- 0.012066683731973171, 0.48135679960250854 +/- 0.0002893153578042984, 1.0142521858215332
62, 19.14993667602539, 19.428470611572266 +/- 0.6957523226737976, 1.3697082996368408 +/- 0.07251033186912537, 3.7103395462036133 +/- 0.09980038553476334, 1.230959415435791 +/- 0.0, 0.8982802629470825 +/- 0.015359560027718544, 0.4813844561576843 +/- 0.0006802354473620653, 1.015882968902588
63, 18.818130493164062, 19.048473358154297 +/- 0.7481277585029602, 1.343017339706421 +/- 0.07676255702972412, 3.6616744995117188 +/- 0.06743516027927399, 1.230959415435791 +/- 0.0, 0.9011644721031189 +/- 0.010570493526756763, 0.48430365324020386 +/- 0.0011010984890162945, 1.0157878398895264
64, 18.571596145629883, 18.78431510925293 +/- 0.6645462512969971, 1.3228647708892822 +/- 0.06812536716461182, 3.623912811279297 +/- 0.0845131203532219, 1.230959415435791 +/- 0.0, 0.9033979177474976 +/- 0.013489075005054474, 0.490180104970932 +/- 0.0019881553016602993, 1.0163979530334473
65, 18.347782135009766, 18.610031127929688 +/- 0.7836635708808899, 1.3091509342193604 +/- 0.08178874105215073, 3.6076645851135254 +/- 0.09343640506267548, 1.230959415435791 +/- 0.0, 0.9054744243621826 +/- 0.01442975364625454, 0.49826371669769287 +/- 0.0025826324708759785, 1.0140299797058105
66, 18.294872283935547, 18.46778106689453 +/- 0.7774075865745544, 1.3004543781280518 +/- 0.07938850671052933, 3.5510332584381104 +/- 0.08448242396116257, 1.230959415435791 +/- 0.0, 0.9061143398284912 +/- 0.013051819056272507, 0.5068589448928833 +/- 0.0024580061435699463, 1.0135231018066406
67, 18.257062911987305, 18.376697540283203 +/- 0.7565074563026428, 1.295710563659668 +/- 0.0774058848619461, 3.517582416534424 +/- 0.08889701217412949, 1.230959415435791 +/- 0.0, 0.9076738357543945 +/- 0.01307649351656437, 0.5162494778633118 +/- 0.0023910978343337774, 1.0165927410125732
68, 18.130022048950195, 18.300642013549805 +/- 0.7520505785942078, 1.2892491817474365 +/- 0.0761386975646019, 3.4957799911499023 +/- 0.09027771651744843, 1.230959415435791 +/- 0.0, 0.9082352519035339 +/- 0.014317509718239307, 0.5248978137969971 +/- 0.002525575226172805, 1.0154058933258057
69, 17.98671531677246, 18.243576049804688 +/- 0.8243162035942078, 1.284393072128296 +/- 0.08403784036636353, 3.478715419769287 +/- 0.10334175825119019, 1.230959415435791 +/- 0.0, 0.9086728096008301 +/- 0.014316988177597523, 0.5331823825836182 +/- 0.0027338203508406878, 1.0187480449676514
70, 17.91756820678711, 18.188777923583984 +/- 0.7505879402160645, 1.2812793254852295 +/- 0.07715032994747162, 3.455282688140869 +/- 0.10122572630643845, 1.230959415435791 +/- 0.0, 0.9098414778709412 +/- 0.015829360112547874, 0.5413943529129028 +/- 0.002643592655658722, 1.0186200141906738
71, 18.136850357055664, 18.108566284179688 +/- 0.7383028268814087, 1.2767198085784912 +/- 0.07569926977157593, 3.411930799484253 +/- 0.07700619101524353, 1.230959415435791 +/- 0.0, 0.9097921848297119 +/- 0.01204619463533163, 0.5505911111831665 +/- 0.002776981331408024, 1.016280174255371
72, 17.755891799926758, 18.06203842163086 +/- 0.708989679813385, 1.2725142240524292 +/- 0.07173438370227814, 3.3952834606170654 +/- 0.08308408409357071, 1.230959415435791 +/- 0.0, 0.9101318120956421 +/- 0.012123197317123413, 0.559644341468811 +/- 0.002599428640678525, 1.0172128677368164
73, 17.71597671508789, 18.008190155029297 +/- 0.7390679121017456, 1.2677503824234009 +/- 0.07337641716003418, 3.3745131492614746 +/- 0.07929334789514542, 1.230959415435791 +/- 0.0, 0.9104003310203552 +/- 0.01137979980558157, 0.5702065229415894 +/- 0.004002009052783251, 1.0180509090423584
74, 17.68296241760254, 17.94345474243164 +/- 0.7322204113006592, 1.2635024785995483 +/- 0.07232828438282013, 3.3361804485321045 +/- 0.07240945100784302, 1.230959415435791 +/- 0.0, 0.9109004139900208 +/- 0.011481121182441711, 0.5825962424278259 +/- 0.003764070337638259, 1.0186760425567627
75, 17.691877365112305, 17.92205238342285 +/- 0.6662732362747192, 1.2603583335876465 +/- 0.06890273094177246, 3.3271708488464355 +/- 0.07483872771263123, 1.230959415435791 +/- 0.0, 0.9114575386047363 +/- 0.012257488444447517, 0.5961492657661438 +/- 0.0045943777076900005, 1.0175459384918213
76, 17.733858108520508, 17.8936767578125 +/- 0.6668926477432251, 1.2571340799331665 +/- 0.0698138102889061, 3.3117623329162598 +/- 0.07985193282365799, 1.230959415435791 +/- 0.0, 0.9122977256774902 +/- 0.013004467822611332, 0.6122473478317261 +/- 0.00472666323184967, 1.0178897380828857
77, 17.585596084594727, 17.849775314331055 +/- 0.7196301817893982, 1.2513675689697266 +/- 0.07417993247509003, 3.294279098510742 +/- 0.07492588460445404, 1.230959415435791 +/- 0.0, 0.9120400547981262 +/- 0.01260574534535408, 0.6261171698570251 +/- 0.004114615265280008, 1.0190000534057617
78, 17.681394577026367, 17.811185836791992 +/- 0.7295904755592346, 1.24834406375885 +/- 0.07356704026460648, 3.2657341957092285 +/- 0.06563969701528549, 1.230959415435791 +/- 0.0, 0.912333607673645 +/- 0.010207291692495346, 0.6415256857872009 +/- 0.004022098612040281, 1.0181801319122314
79, 17.53192901611328, 17.807527542114258 +/- 0.7155011892318726, 1.2453855276107788 +/- 0.07180687040090561, 3.2625627517700195 +/- 0.0758444145321846, 1.230959415435791 +/- 0.0, 0.9127972722053528 +/- 0.011536091566085815, 0.6586856842041016 +/- 0.004443739540874958, 1.0173838138580322
80, 17.563796997070312, 17.79135513305664 +/- 0.6923390030860901, 1.2428092956542969 +/- 0.07229426503181458, 3.2488656044006348 +/- 0.08089538663625717, 1.230959415435791 +/- 0.0, 0.9133113026618958 +/- 0.012590141035616398, 0.6735268831253052 +/- 0.004463955760002136, 1.0177807807922363
81, 17.46565818786621, 17.763439178466797 +/- 0.6992912292480469, 1.2393890619277954 +/- 0.07157701998949051, 3.231107711791992 +/- 0.07164255529642105, 1.230959415435791 +/- 0.0, 0.913733959197998 +/- 0.01192904356867075, 0.6900142431259155 +/- 0.004723765887320042, 1.0191423892974854
82, 17.497831344604492, 17.723899841308594 +/- 0.784313440322876, 1.2346396446228027 +/- 0.07831356674432755, 3.208146572113037 +/- 0.06817194819450378, 1.230959415435791 +/- 0.0, 0.9135235548019409 +/- 0.009528408758342266, 0.7062294483184814 +/- 0.004777209833264351, 1.0179693698883057
83, 17.451519012451172, 17.71385955810547 +/- 0.7088029980659485, 1.233881950378418 +/- 0.07120131701231003, 3.187014102935791 +/- 0.06875757873058319, 1.230959415435791 +/- 0.0, 0.914528489112854 +/- 0.010891662910580635, 0.7228139638900757 +/- 0.005529091227799654, 1.019275426864624
84, 17.52783203125, 17.704551696777344 +/- 0.6857786178588867, 1.229776382446289 +/- 0.0697326809167862, 3.1772892475128174 +/- 0.07688332349061966, 1.230959415435791 +/- 0.0, 0.9144408702850342 +/- 0.011858449317514896, 0.741700291633606 +/- 0.004076646640896797, 1.018866777420044
85, 17.327573776245117, 17.66843605041504 +/- 0.7258793115615845, 1.2260900735855103 +/- 0.07304220646619797, 3.150900363922119 +/- 0.07282029092311859, 1.230959415435791 +/- 0.0, 0.9147452116012573 +/- 0.01273699663579464, 0.7567867040634155 +/- 0.0037605799734592438, 1.0177922248840332
86, 17.449077606201172, 17.630807876586914 +/- 0.6937413215637207, 1.2223787307739258 +/- 0.069959856569767, 3.134573459625244 +/- 0.058195311576128006, 1.230959415435791 +/- 0.0, 0.9149760603904724 +/- 0.010299845598638058, 0.7694656848907471 +/- 0.004283194895833731, 1.01812744140625
87, 17.40335464477539, 17.644489288330078 +/- 0.7054052948951721, 1.2224011421203613 +/- 0.07118247449398041, 3.121347665786743 +/- 0.08325446397066116, 1.230959415435791 +/- 0.0, 0.9157599210739136 +/- 0.013239140622317791, 0.785982072353363 +/- 0.004635998979210854, 1.018484115600586
88, 17.322721481323242, 17.589683532714844 +/- 0.7034032344818115, 1.2181451320648193 +/- 0.07241573184728622, 3.084825038909912 +/- 0.07222121208906174, 1.230959415435791 +/- 0.0, 0.9156010150909424 +/- 0.012071404606103897, 0.79825758934021 +/- 0.0037879531737416983, 1.0197358131408691
89, 17.23015785217285, 17.587446212768555 +/- 0.7499973773956299, 1.2162809371948242 +/- 0.07550086081027985, 3.079741954803467 +/- 0.07403703033924103, 1.230959415435791 +/- 0.0, 0.916244387626648 +/- 0.012285727076232433, 0.8141506314277649 +/- 0.004790845327079296, 1.018500566482544
90, 17.140901565551758, 17.542787551879883 +/- 0.7407867908477783, 1.21249258518219 +/- 0.07617205381393433, 3.0409531593322754 +/- 0.07814376056194305, 1.230959415435791 +/- 0.0, 0.9163777232170105 +/- 0.01314140297472477, 0.830184817314148 +/- 0.004203703720122576, 1.0187251567840576
