Epoch, Accuracy, Overall Loss, RMSE, Maximal Error, Min distance Branch Points, C0-norm, Eigenvalue, Time (s)
49, 31.245311737060547, 32.595481872558594 +/- 2.2005438804626465, 1.9683611392974854 +/- 0.21398432552814484, 10.086645126342773 +/- 0.3854979872703552, 1.174522876739502 +/- 0.0005885779391974211, 0.8432782888412476 +/- 0.016864879056811333, 14.41908073425293 +/- 0.07520841062068939, 1.0185444355010986
50, 30.474571228027344, 31.845012664794922 +/- 2.3454973697662354, 1.9209372997283936 +/- 0.2302767038345337, 9.91295051574707 +/- 0.4882151484489441, 1.1765323877334595 +/- 0.0005829642759636045, 0.8471715450286865 +/- 0.02321961522102356, 14.525970458984375 +/- 0.038250092417001724, 1.0188357830047607
51, 30.797807693481445, 31.310821533203125 +/- 2.2559103965759277, 1.9043984413146973 +/- 0.21865300834178925, 9.619586944580078 +/- 0.5870063304901123, 1.178553581237793 +/- 0.0005898677045479417, 0.8501596450805664 +/- 0.02763419598340988, 14.469501495361328 +/- 0.03265237808227539, 1.0186996459960938
52, 29.74533462524414, 30.589181900024414 +/- 2.142958164215088, 1.8612115383148193 +/- 0.20734941959381104, 9.379216194152832 +/- 0.5062439441680908, 1.1805661916732788 +/- 0.0005799405043944716, 0.8511353135108948 +/- 0.02518511936068535, 14.331787109375 +/- 0.06056837737560272, 1.018495798110962
53, 29.18147850036621, 29.939998626708984 +/- 2.091967821121216, 1.8260385990142822 +/- 0.20404745638370514, 9.173629760742188 +/- 0.43416017293930054, 1.182586908340454 +/- 0.0005856957286596298, 0.8535590171813965 +/- 0.022446930408477783, 14.169842720031738 +/- 0.058259498327970505, 1.0176818370819092
54, 28.69994354248047, 29.42688751220703 +/- 2.097461700439453, 1.8009605407714844 +/- 0.20295597612857819, 8.94489860534668 +/- 0.533912718296051, 1.184605598449707 +/- 0.0005899525713175535, 0.8550616502761841 +/- 0.026023153215646744, 14.010307312011719 +/- 0.06542877107858658, 1.018193244934082
55, 29.155485153198242, 28.926937103271484 +/- 1.9469672441482544, 1.7712807655334473 +/- 0.1965610682964325, 8.836397171020508 +/- 0.5498741269111633, 1.1866239309310913 +/- 0.0005759909399785101, 0.8585493564605713 +/- 0.028287099674344063, 13.783968925476074 +/- 0.02984595112502575, 1.0193555355072021
56, 27.5612850189209, 28.339462280273438 +/- 2.1429848670959473, 1.7369476556777954 +/- 0.20489004254341125, 8.620450973510742 +/- 0.5881434082984924, 1.1887017488479614 +/- 0.0006046922644600272, 0.8592531681060791 +/- 0.028080176562070847, 13.733499526977539 +/- 0.05044109374284744, 1.019606113433838
57, 26.247371673583984, 27.385791778564453 +/- 2.1952013969421387, 1.6884877681732178 +/- 0.20655885338783264, 8.171886444091797 +/- 0.47700345516204834, 1.190728783607483 +/- 0.0005814601900056005, 0.8585920929908752 +/- 0.021585125476121902, 13.701578140258789 +/- 0.045447200536727905, 1.0166382789611816
58, 25.43964958190918, 26.79723358154297 +/- 2.3139381408691406, 1.6778831481933594 +/- 0.22232729196548462, 7.760417938232422 +/- 0.48118874430656433, 1.1927611827850342 +/- 0.0005938931717537344, 0.8613550066947937 +/- 0.02444295585155487, 13.87696647644043 +/- 0.07251671701669693, 1.0167222023010254
